Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Denver Nuggets,20,4825,44.5,90.5,0.492,11.9,31.6,0.375,32.7,58.9,0.554,18.6,23.3,0.801,10.6,36.6,47.1,27.1,7.2,4.4,12.2,20.3,119.5
2,Boston Celtics,20,4825,42.8,89.5,0.478,14.7,40.5,0.364,28.1,49,0.572,17,20.9,0.81,9.9,35.2,45.1,25.3,6.3,6.6,13,18,117.2
3,Los Angeles Clippers,5,1200,41.3,89.7,0.46,12.4,34.2,0.361,29,55.5,0.522,22.1,26.7,0.826,12,28.6,40.5,21.9,6.7,4.3,14.2,23.3,117.1
4,Phoenix Suns,11,2640,44.2,89,0.496,9.6,26.5,0.363,34.6,62.5,0.553,19.1,23.9,0.798,9.4,31.6,41,25.2,6.4,5.8,12.4,22.5,117
5,Atlanta Hawks,6,1440,43.7,95.7,0.457,13.9,37.1,0.375,29.8,58.6,0.508,13.7,16.9,0.814,12.1,31.4,43.5,24.3,7.6,4.8,12.7,16.2,115
6,Miami Heat,23,5545,41.8,91.4,0.458,13.5,35.4,0.38,28.4,56,0.507,16.9,20.8,0.813,9.7,32.7,42.4,24.8,7.4,3.8,12.3,21.1,114.1
7,Milwaukee Bucks,5,1225,42.2,88.8,0.475,15,39.5,0.379,27.2,49.3,0.553,14.6,20.5,0.71,9.8,32.8,42.6,25.7,6.3,3.5,13.8,18,114
8,Los Angeles Lakers,16,3865,41.6,88.2,0.471,10.3,30.6,0.335,31.3,57.6,0.544,20.3,25.1,0.809,9.2,36,45.2,25.2,6.9,6.5,12.1,17.7,113.7
9,Golden State Warriors,13,3120,41.5,92.7,0.448,14.3,42.1,0.34,27.2,50.6,0.538,14.6,19.5,0.75,12.4,34.2,46.6,27.9,7.2,4.6,14.2,22.7,111.9
10,Philadelphia 76ers,11,2665,39.8,91.1,0.437,13.2,36.8,0.359,26.6,54.3,0.49,18.3,20.7,0.886,10.8,35.8,46.6,20.7,8.3,5.7,13.4,20.3,111.2
11,Sacramento Kings,7,1680,39.9,93,0.429,11.8,38.7,0.306,28.1,54.4,0.517,19,25,0.761,13.6,32.8,46.4,21.4,7.5,4.2,13.8,22,110.7
12,Minnesota Timberwolves,5,1225,39.4,86,0.458,11.7,33.5,0.348,27.7,52.5,0.528,19.4,25.2,0.769,8.7,32.1,40.8,23.5,6.9,5,13.3,22.5,109.7
13,New York Knicks,11,2640,38.4,88.6,0.433,10.4,35.6,0.292,28,53,0.528,21.8,29.2,0.746,14,35.3,49.3,20.4,7.6,4.8,15.9,21.2,108.9
14,Memphis Grizzlies,6,1465,38.1,94.7,0.402,11.9,38.2,0.312,26.2,56.4,0.463,15.9,19,0.835,13.1,33.1,46.2,23.2,6.6,3.5,12.9,20.4,104
15,Cleveland Cavaliers,5,1200,38.6,86.1,0.449,11,33.6,0.327,27.7,52.5,0.527,15.1,20.4,0.742,10.1,30.7,40.8,24.1,7.5,4.4,17.3,22.4,103.4
16,Brooklyn Nets,4,960,37.9,86.1,0.44,12.5,38.4,0.326,25.4,47.6,0.532,14.8,20.3,0.726,6.4,32.6,39,24.8,5.9,4.2,13.7,17.3,103.1
17,Chicago Bulls,0,,,,,,,,,,,,,,,,,,,,,,
18,New Orleans Pelicans,0,,,,,,,,,,,,,,,,,,,,,,
19,Oklahoma City Thunder,0,,,,,,,,,,,,,,,,,,,,,,
20,Toronto Raptors,0,,,,,,,,,,,,,,,,,,,,,,
