Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers,18,4320,42.4,86,0.493,14.7,35.1,0.42,27.7,50.9,0.544,20.8,27.1,0.767,9.5,34.1,43.6,22.8,7.6,4.8,13.5,19.4,120.3
2,Golden State Warriors,17,4080,42.8,86.8,0.494,12.7,32.8,0.386,30.1,54,0.559,20.6,25.3,0.815,9.3,36.4,45.6,28.2,8.7,6.1,13.6,21.7,119
3,Indiana Pacers,4,960,42.7,91.8,0.466,11.9,30.3,0.391,30.9,61.4,0.502,17.4,22.7,0.767,12.4,31.9,44.3,23.7,8.4,4,14,24,114.7
4,San Antonio Spurs,16,3890,42.4,91.7,0.462,9.1,25.9,0.35,33.3,65.8,0.506,19.6,25.3,0.773,13.5,33.6,47.1,22.6,8.2,5,13.5,19.9,113.4
5,Boston Celtics,18,4345,40.6,89,0.457,13.5,36.5,0.369,27.2,52.5,0.517,16.6,21.5,0.773,10,30.2,40.2,28.5,8.2,4.4,14.2,22,111.4
6,Washington Wizards,13,3145,41.1,89.9,0.457,8.6,27.1,0.317,32.5,62.7,0.518,20,25.3,0.794,11.4,32.7,44.1,23.4,8.1,6.8,14.1,23.6,110.9
7,Houston Rockets,11,2665,38.3,87.4,0.439,13.2,39.5,0.333,25.1,47.8,0.525,20.9,26.5,0.789,10.2,33.9,44.1,20.1,7.9,4.8,14.4,21.5,110.7
8,Memphis Grizzlies,6,1465,39.7,88.4,0.449,10.7,27.7,0.386,29,60.7,0.478,20.2,23.3,0.869,8.8,31.9,40.6,21.6,5.9,2.9,13,25.4,110.3
9,Los Angeles Clippers,7,1680,40.5,85.7,0.473,9.1,26.1,0.348,31.5,59.6,0.528,18.6,26.7,0.696,8.6,33.6,42.1,20.5,7,2.7,13.5,22.6,108.8
10,Atlanta Hawks,6,1440,38.1,85.9,0.444,8.5,27.8,0.305,29.7,58.1,0.51,22.5,29.5,0.764,11.5,33.6,45.1,22.7,6.1,3.4,16.3,21.7,107.3
11,Utah Jazz,11,2640,38.7,85.1,0.455,10.3,28.1,0.365,28.4,56.9,0.499,18.6,25.4,0.732,7.3,35.1,42.4,21.4,8,3.5,13.1,22.9,106.2
12,Oklahoma City Thunder,5,1200,39.2,88.7,0.442,8.5,27.4,0.311,30.6,61.3,0.5,18.9,27.4,0.689,12.4,31.9,44.2,20.1,8.5,8.1,13,22.5,105.7
13,Chicago Bulls,6,1440,39.4,89.6,0.44,7.6,25.5,0.298,31.8,64.1,0.497,18.3,21.5,0.849,13.6,37.1,50.7,21.7,7.8,5.6,16.6,19.9,104.8
14,Toronto Raptors,10,2400,37.9,85.4,0.444,8.4,25.2,0.332,29.5,60.1,0.491,19.6,24.2,0.813,7.3,34.9,42.2,21,7.9,4.7,13.9,22.4,103.8
15,Milwaukee Bucks,6,1440,38.5,86.4,0.446,9.9,23.9,0.415,28.6,62.4,0.457,16,23,0.696,9,33,42,23.4,9,5.5,14.7,23.6,103
16,Portland Trail Blazers,4,960,34.7,87.5,0.397,10.8,33.2,0.324,24,54.3,0.441,19.1,23.7,0.804,9.8,33.2,43,15.4,7.1,4.6,14.9,21.3,99.3
