Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Phoenix Suns,16,3840,41.8,87.6,0.477,10.3,26.9,0.384,31.5,60.7,0.519,23.9,30.9,0.773,11.8,32.4,44.1,22.9,6.5,4.5,13.8,24.6,117.8
2,Utah Jazz,10,2400,40.6,84.6,0.479,6.9,18.5,0.374,33.6,66.1,0.509,26,35.7,0.728,11.6,30.6,42.2,25.3,6.3,4.7,14.1,28.7,114
3,Denver Nuggets,6,1440,38.9,81.8,0.476,6.8,18.9,0.358,32.1,62.9,0.511,29.4,38.4,0.765,10.8,30.6,41.3,20,8.5,4.9,14.2,32.1,113.9
4,Los Angeles Lakers,23,5520,41.7,90.6,0.46,7.6,23.1,0.33,34.1,67.5,0.505,21.8,29,0.754,14.3,33.6,47.9,21.9,7.5,6.9,13.9,25.9,112.8
5,Orlando Magic,14,3385,37.6,81.2,0.463,11.3,30.9,0.366,26.3,50.3,0.523,24.3,34.6,0.701,10.7,35.7,46.3,19.3,7.4,6.3,15.7,25.7,110.8
6,Cleveland Cavaliers,11,2640,37.7,80.4,0.469,7.8,22.3,0.348,29.9,58.1,0.515,25,33.8,0.741,9.3,33.6,42.9,22.8,6.6,7.2,16.1,23.7,108.2
7,Portland Trail Blazers,6,1440,37.8,88,0.43,7.3,19.1,0.38,30.5,68.9,0.443,23.7,32.1,0.738,12.4,30.3,42.7,22.3,6.9,5,12.6,26.5,106.5
8,San Antonio Spurs,10,2400,40,86.3,0.464,5.3,15.6,0.338,34.8,70.7,0.491,20.3,29.3,0.695,11.1,34.1,45.2,21.1,7.5,4.7,14,23.1,105.7
9,Dallas Mavericks,6,1440,38.5,89.8,0.429,7.2,21.9,0.328,31.3,67.9,0.461,20.9,26.4,0.793,13.6,36,49.6,20.9,8.5,5.7,14.7,25.5,105.1
10,Chicago Bulls,5,1200,40.9,93.3,0.439,3.5,11.7,0.296,37.5,81.6,0.459,19.7,24.7,0.798,11.7,32.7,44.4,20.6,6.3,3.2,10.8,23.2,105
11,Milwaukee Bucks,7,1680,39.3,92.8,0.424,7.7,24.8,0.309,31.7,68,0.466,18.7,23.2,0.806,13,32.7,45.6,19,7.3,3.8,14.5,24.5,105
12,Boston Celtics,24,5785,38.3,84.5,0.453,6.5,17.8,0.363,31.8,66.6,0.477,21.8,28.8,0.755,9.9,33.8,43.7,23.6,8.9,5.1,15.5,27.4,104.8
13,Atlanta Hawks,11,2640,39.4,92.8,0.425,5.3,15.9,0.333,34.1,76.9,0.444,20.1,25.6,0.785,15.2,31.4,46.5,19.1,7.4,5.9,13.7,24.7,104.3
14,Oklahoma City Thunder,6,1440,33.8,86.6,0.391,6.1,20.4,0.297,27.8,66.2,0.419,29.8,35.7,0.835,12.9,35,47.8,17.8,7.2,6.8,13.8,25.2,103.6
15,Charlotte Bobcats,4,960,36.6,82.6,0.443,5.6,19.9,0.279,31,62.7,0.495,21.4,29.9,0.716,10,32.8,42.8,23.7,6.4,5.3,18.2,31.3,100.2
16,Miami Heat,5,1200,36.9,84.8,0.435,7.5,20,0.374,29.4,64.8,0.454,14.9,20.4,0.731,10.3,31,41.3,19.3,7.7,5.5,19.5,25,96.2
